693 + 720 = ERROR | RTT = 26.636 ms | status = INTERNAL
466 + 608 = 1074 | RTT = 164.885 ms | status = OK
670 + 377 = 1047 | RTT = 200.142 ms | status = OK
744 + 139 = 883 | RTT = 204.932 ms | status = OK
529 + 625 = 1154 | RTT = 208.501 ms | status = OK
218 + 233 = 451 | RTT = 216.346 ms | status = OK
327 + 133 = 460 | RTT = 199.715 ms | status = OK
955 + 255 = 1210 | RTT = 193.887 ms | status = OK
133 + 509 = 642 | RTT = 214.435 ms | status = OK
960 + 156 = 1116 | RTT = 223.949 ms | status = OK

--- Estadísticas RTT ---
Cantidad total de requests: 100
Errores: 26
RTT medio (exitosos): 116.106 ms
Desvío estándar: 57.593 ms
